Usr_Frnd,Org,Str_Ab,Shr_Acc,Whenever,Wherever,Buff_Sp,Ads,Avb,Quality,Variety,Amt_Og,Upd_Freq,Trans_Md,Trans_Safety,Security_PI,Service_Typ,Cost,Plans,Cust_Supp,Recom_Eng,Recom,Reviews
Important,Important,Very Important,Not Important,Very Important,Very Important,Important,Not Important,Important,Very Important,Important,Very Important,Important,Important,Important,Very Important,Important,Important,Neutral,Very Important,Very Important,Important,Very Important
Not Very Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important
Not Very Important,Neutral,Not Very Important,Not Very Important,Neutral,Not Important,Not Important,Not Important,Neutral,Neutral,Neutral,Not Very Important,Not Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Neutral,Not Very Important,Not Important,Neutral,Not Important,Not Very Important
Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Neutral,Very Important,Important,Important,Very Important,Neutral,Neutral,Very Important,Very Important,Neutral,Important,Important,Very Important,Not Important,Important,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important
Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important
Important,Important,Very Important,Very Important,Important,Neutral,Important,Not Very Important,Important,Important,Neutral,Neutral,Very Important,Important,Important,Important,Important,Important,Neutral,Neutral,Neutral,Not Very Important,Important
Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important
Very Important,Very Important,Important,Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Important,Very Important,Important,Important,Very Important,Very Important,Important,Neutral,Neutral,Important,Neutral,Neutral,Important
Very Important,Important,Not Important,Very Important,Very Important,Very Important,Very Important,Not Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Neutral,Very Important,Not Important
Important,Very Important,Important,Important,Important,Important,Important,Neutral,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Important,Very Important,Very Important,Important,Important,Very Important,Very Important,Important
Not Very Important,Not Important,Not Important,Not Important,Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,Important,Important,Important,Very Important,Very Important,Important,Important,Very Important
Important,Important,Important,Important,Important,Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,Very Important
Important,Very Important,Neutral,Neutral,Very Important,Very Important,Very Important,Not Important,Important,Very Important,Important,Important,Important,Very Important,Very Important,Very Important,Important,Neutral,Important,Very Important,Important,Neutral,Important
Very Important,Very Important,Very Important,Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important
Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Not Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important
Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important
Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Very Important,Not Important,Not Important,Not Important,Not Important,Not Important
Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important
Important,Important,Neutral,Not Very Important,Not Very Important,Not Very Important,Important,Not Important,Important,Important,Important,Important,Important,Important,Very Important,Very Important,Important,Very Important,Very Important,Important,Important,Important,Important
Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important
Important,Important,Very Important,Very Important,Important,Important,Very Important,Very Important,Important,Important,Important,Important,Neutral,Neutral,Very Important,Very Important,Important,Very Important,Important,Important,Neutral,Neutral,Neutral
Neutral,Important,Important,Important,Very Important,Very Important,Very Important,Not Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Important,Important,Important
Very Important,Very Important,Very Important,Important,Not Very Important,Important,Very Important,Very Important,Very Important,Important,Important,Important,Important,Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Not Important,Important
Not Important,Not Important,Not Important,Not Important,Not Important,Not Very Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Very Important,Not Very Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Very Important
Very Important,Important,Important,Neutral,Important,Neutral,Very Important,Neutral,Important,Important,Very Important,Very Important,Neutral,Not Important,Very Important,Very Important,Important,Important,Neutral,Not Important,Neutral,Not Very Important,Important
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Important,Very Important,Not Important,Not Very Important,Important,Very Important,Important,Not Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Important,Very Important,Very Important,Important,Important,Very Important,Very Important
Important,Important,Very Important,Very Important,Very Important,Very Important,Important,Neutral,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Important,Neutral,Very Important,Important,Important,Very Important
Neutral,Neutral,Neutral,Not Very Important,Neutral,Important,Important,Not Very Important,Very Important,Important,Important,Important,Not Very Important,Important,Important,Not Important,Important,Very Important,Important,Important,Important,Not Important,Important
Not Important,Not Important,Not Very Important,Not Important,Not Important,Not Important,Not Very Important,Neutral,Not Important,Not Important,Not Important,Not Very Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Very Important,Not Important,Not Very Important,Not Important
Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important
Important,Important,Important,Important,Important,Important,Not Important,Important,Important,Important,Important,Important,Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important
Not Important,Neutral,Important,Important,Important,Important,Important,Important,Very Important,Very Important,Very Important,Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Important,Very Important,Important
Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Important,Not Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Important,Not Important,Not Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important
Not Very Important,Not Very Important,Not Very Important,Not Important,Not Important,Not Very Important,Not Important,Not Important,Not Very Important,Not Very Important,Not Important,Not Important,Not Very Important,Not Important,Not Very Important,Not Very Important,Not Important,Not Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important
Not Important,Very Important,Neutral,Not Very Important,Not Important,Not Very Important,Very Important,Not Very Important,Very Important,Very Important,Very Important,Neutral,Important,Very Important,Important,Very Important,Neutral,Very Important,Not Important,Not Important,Neutral,Important,Important
Important,Neutral,Very Important,Not Very Important,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Important,Neutral,Important,Not Important,Important,Important,Important,Important,Important,Important,Very Important,Important,Important,Neutral,Neutral,Very Important,Neutral,Very Important,Very Important,Important,Important,Important,Important
Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Very Important,Important,Important,Important,Important,Important,Very Important,Neutral,Important,Important,Very Important,Not Important,Not Important,Very Important
Not Important,Neutral,Important,Not Important,Not Important,Neutral,Neutral,Not Important,Important,Very Important,Important,Neutral,Neutral,Important,Very Important,Very Important,Not Important,Not Important,Important,Important,Neutral,Important,Important
Very Important,Important,Important,Important,Important,Neutral,Important,Neutral,Neutral,Important,Not Important,Not Important,Neutral,Neutral,Important,Important,Important,Important,Neutral,Important,Important,Neutral,Neutral
Not Very Important,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Very Important,Very Important,Important,Neutral,Very Important,Very Important,Important,Neutral,Important,Important,Important,Neutral,Important,Important,Very Important,Very Important,Important,Important,Important,Important,Neutral,Neutral,Important
Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Very Important,Very Important,Very Important,Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Very Important,Very Important,Very Important,Not Very Important,Very Important,Not Very Important,Not Very Important,Not Very Important
Not Important,Important,Very Important,Not Very Important,Important,Important,Very Important,Neutral,Very Important,Very Important,Very Important,Important,Important,Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Important,Neutral,Important
Very Important,Very Important,Very Important,Neutral,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important
Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Important,Not Very Important,Not Important,Not Very Important,Not Important,Not Very Important,Not Very Important,Not Important,Not Very Important,Not Important,Not Very Important,Not Important,Not Very Important,Not Important,Not Very Important,Not Important
Very Important,Important,Very Important,Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Important,Important,Important,Important,Very Important,Very Important,Neutral,Important,Important,Very Important,Neutral,Neutral,Important
Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important
Not Very Important,Not Important,Neutral,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Important,Very Important,Very Important
Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Not Very Important,Not Very Important,Not Important,Neutral,Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important
Important,Neutral,Important,Neutral,Neutral,Neutral,Neutral,Neutral,Very Important,Very Important,Important,Important,Important,Important,Important,Important,Neutral,Important,Important,Important,Important,Important,Important
Not Important,Neutral,Important,Neutral,Important,Neutral,Important,Neutral,Important,Neutral,Important,Neutral,Important,Neutral,Important,Neutral,Important,Important,Neutral,Important,Neutral,Important,Neutral
Not Important,Not Important,Important,Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Important,Very Important,Important
Not Very Important,Not Important,Neutral,Important,Very Important,Important,Very Important,Important,Very Important,Important,Very Important,Important,Very Important,Important,Important,Very Important,Important,Important,Important,Very Important,Important,Important,Very Important
Important,Neutral,Neutral,Neutral,Important,Important,Important,Neutral,Important,Important,Important,Neutral,Neutral,Neutral,Neutral,Important,Important,Important,Important,Important,Important,Neutral,Important
Not Very Important,Not Important,Not Important,Neutral,Important,Neutral,Important,Very Important,Important,Important,Very Important,Important,Important,Very Important,Important,Very Important,Important,Important,Very Important,Important,Important,Very Important,Very Important
Not Very Important,Not Important,Neutral,Important,Very Important,Important,Important,Very Important,Important,Very Important,Important,Very Important,Important,Very Important,Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important
Not Very Important,Not Important,Neutral,Neutral,Neutral,Important,Neutral,Important,Neutral,Neutral,Important,Very Important,Important,Very Important,Important,Very Important,Important,Important,Important,Very Important,Very Important,Important,Important
Not Very Important,Not Important,Neutral,Important,Very Important,Important,Very Important,Important,Important,Important,Very Important,Very Important,Important,Very Important,Important,Very Important,Important,Very Important,Important,Very Important,Important,Important,Very Important
Important,Important,Very Important,Very Important,Neutral,Neutral,Neutral,Neutral,Very Important,Important,Very Important,Very Important,Neutral,Important,Very Important,Very Important,Very Important,Important,Important,Neutral,Important,Not Important,Not Very Important
Neutral,Important,Important,Not Important,Important,Important,Very Important,Neutral,Very Important,Very Important,Important,Not Important,Neutral,Important,Very Important,Very Important,Neutral,Neutral,Neutral,Not Important,Important,Not Important,Not Important
Not Very Important,Important,Very Important,Not Very Important,Not Very Important,Not Very Important,Very Important,Not Important,Very Important,Very Important,Not Important,Very Important,Not Important,Very Important,Very Important,Very Important,Not Important,Very Important,Not Important,Important,Important,Very Important,Not Important
Not Very Important,Not Important,Neutral,Important,Important,Very Important,Important,Very Important,Important,Very Important,Important,Very Important,Important,Very Important,Important,Very Important,Important,Important,Very Important,Important,Very Important,Important,Important
Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Important,Not Important,Not Very Important,Not Very Important,Not Important,Not Important,Not Important,Not Very Important,Not Very Important,Not Very Important,Not Important,Not Very Important,Not Important,Not Very Important,Not Important,Not Very Important,Not Very Important,Not Important,Not Important
Not Very Important,Not Important,Neutral,Important,Important,Important,Very Important,Important,Important,Very Important,Important,Very Important,Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Important,Important,Very Important,Important
Not Very Important,Not Important,Important,Important,Very Important,Important,Important,Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Important,Very Important,Important,Important,Very Important,Important
Not Very Important,Not Important,Neutral,Important,Very Important,Very Important,Important,Neutral,Important,Very Important,Very Important,Important,Important,Very Important,Very Important,Very Important,Important,Very Important,Important,Very Important,Important,Important,Important
Not Very Important,Not Important,Neutral,Neutral,Neutral,Important,Very Important,Neutral,Neutral,Very Important,Not Important,Not Important,Not Important,Neutral,Not Important,Important,Very Important,Important,Important,Very Important,Important,Important,Important
Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important
Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important
Very Important,Very Important,Neutral,Not Important,Very Important,Neutral,Very Important,Not Important,Very Important,Very Important,Very Important,Neutral,Important,Very Important,Very Important,Very Important,Neutral,Important,Important,Very Important,Very Important,Neutral,Important
Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Very Important,Important,Important
Neutral,Important,Very Important,Neutral,Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Important,Important,Important,Important,Important,Important,Important
Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important
Not Very Important,Not Important,Not Important,Neutral,Not Important,Not Important,Not Important,Neutral,Neutral,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important
Neutral,Not Important,Neutral,Not Important,Not Very Important,Not Important,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Important,Neutral,Important,Important,Important,Important,Neutral,Important,Very Important,Very Important,Important,Important,Neutral,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Important,Neutral,Important
Important,Important,Important,Important,Neutral,Neutral,Very Important,Not Very Important,Important,Very Important,Very Important,Very Important,Very Important,Not Very Important,Very Important,Important,Neutral,Important,Very Important,Very Important,Very Important,Very Important,Very Important
Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important
Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important
Not Important,Neutral,Neutral,Neutral,Very Important,Important,Not Important,Not Important,Important,Important,Very Important,Important,Important,Very Important,Important,Very Important,Important,Important,Important,Important,Very Important,Important,Important
Not Very Important,Not Important,Neutral,Not Important,Important,Important,Very Important,Very Important,Important,Very Important,Important,Very Important,Important,Very Important,Important,Very Important,Important,Neutral,Important,Neutral,Important,Neutral,Important
Not Very Important,Not Important,Neutral,Neutral,Neutral,Important,Neutral,Important,Important,Very Important,Important,Important,Very Important,Important,Neutral,Neutral,Not Important,Neutral,Not Important,Important,Not Important,Neutral,Not Important
Not Very Important,Not Important,Neutral,Neutral,Neutral,Neutral,Important,Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,Important,Neutral,Important,Neutral,Neutral,Important,Neutral,Neutral
Not Very Important,Not Very Important,Not Important,Not Important,Neutral,Neutral,Neutral,Important,Important,Very Important,Very Important,Important,Neutral,Important,Neutral,Important,Neutral,Important,Very Important,Neutral,Important,Neutral,Neutral
Not Very Important,Not Important,Neutral,Not Important,Neutral,Not Important,Neutral,Important,Important,Very Important,Important,Important,Important,Neutral,Important,Neutral,Not Important,Important,Important,Neutral,Neutral,Important,Important
Not Very Important,Not Important,Neutral,Neutral,Neutral,Neutral,Neutral,Not Important,Important,Very Important,Very Important,Neutral,Neutral,Important,Neutral,Important,Neutral,Neutral,Important,Neutral,Not Important,Neutral,Neutral
Not Very Important,Not Important,Not Important,Neutral,Neutral,Not Important,Not Important,Neutral,Very Important,Very Important,Important,Very Important,Neutral,Important,Neutral,Important,Neutral,Not Important,Neutral,Not Important,Important,Important,Not Important
Not Very Important,Not Important,Not Important,Neutral,Neutral,Important,Important,Important,Important,Very Important,Important,Very Important,Neutral,Important,Important,Neutral,Neutral,Important,Neutral,Important,Not Important,Neutral,Important
Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important
Not Very Important,Not Important,Not Important,Not Very Important,Not Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important
Not Very Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Very Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important
Very Important,Important,Very Important,Important,Important,Neutral,Not Important,Neutral,Important,Important,Neutral,Important,Neutral,Important,Important,Very Important,Very Important,Neutral,Important,Important,Neutral,Not Important,Neutral
Important,Very Important,Very Important,Very Important,Very Important,Very Important,Neutral,Not Important,Important,Very Important,Important,Important,Important,Important,Important,Important,Neutral,Important,Important,Important,Important,Very Important,Very Important
Neutral,Important,Important,Not Very Important,Very Important,Very Important,Very Important,Not Very Important,Very Important,Very Important,Important,Neutral,Very Important,Very Important,Very Important,Very Important,Important,Important,Neutral,Very Important,Important,Not Very Important,Important
Important,Neutral,Very Important,Not Important,Important,Important,Not Important,Important,Important,Very Important,Important,Important,Very Important,Important,Very Important,Very Important,Neutral,Important,Important,Important,Not Important,Not Important,Not Important
Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important
Neutral,Important,Important,Neutral,Important,Important,Very Important,Neutral,Very Important,Very Important,Very Important,Neutral,Very Important,Very Important,Very Important,Very Important,Neutral,Neutral,Neutral,Very Important,Neutral,Neutral,Very Important
Not Important,Very Important,Very Important,Very Important,Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Important,Very Important,Important,Very Important,Important,Very Important,Neutral,Neutral,Important,Important,Important,Neutral
Neutral,Important,Very Important,Not Very Important,Neutral,Neutral,Not Important,Not Very Important,Very Important,Important,Neutral,Important,Very Important,Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Important,Very Important,Very Important
Neutral,Important,Neutral,Important,Important,Very Important,Very Important,Important,Important,Important,Important,Important,Neutral,Important,Important,Neutral,Neutral,Important,Neutral,Important,Neutral,Neutral,Important
Not Important,Not Important,Not Very Important,Not Very Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Very Important
Important,Important,Very Important,Neutral,Important,Important,Not Important,Neutral,Neutral,Not Important,Important,Very Important,Not Important,Very Important,Not Important,Important,Very Important,Not Very Important,Neutral,Not Very Important,Important,Very Important,Neutral
Not Very Important,Not Very Important,Not Important,Not Very Important,Not Important,Not Important,Not Important,Not Very Important,Not Important,Not Important,Not Very Important,Not Very Important,Not Important,Not Important,Not Very Important,Not Important,Not Important,Not Very Important,Not Very Important,Not Very Important,Not Important,Not Important,Not Very Important
Not Very Important,Not Very Important,Not Important,Neutral,Neutral,Neutral,Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Important,Neutral,Neutral,Important,Important,Neutral,Important,Important,Important,Very Important
Not Very Important,Not Very Important,Not Important,Not Important,Neutral,Neutral,Important,Important,Very Important,Very Important,Very Important,Important,Important,Neutral,Neutral,Neutral,Not Important,Not Important,Not Important,Neutral,Not Important,Not Important,Neutral
Not Very Important,Not Very Important,Not Important,Not Important,Neutral,Neutral,Not Important,Neutral,Important,Very Important,Very Important,Important,Neutral,Neutral,Important,Neutral,Important,Important,Important,Neutral,Neutral,Important,Neutral
Not Very Important,Not Very Important,Not Important,Neutral,Neutral,Neutral,Very Important,Important,Very Important,Very Important,Important,Very Important,Important,Neutral,Not Important,Neutral,Neutral,Not Important,Neutral,Not Important,Important,Important,Neutral
Not Very Important,Not Very Important,Not Important,Neutral,Not Important,Not Important,Neutral,Not Important,Neutral,Important,Not Important,Neutral,Neutral,Important,Not Important,Neutral,Important,Not Important,Neutral,Important,Neutral,Not Important,Neutral
Not Very Important,Not Very Important,Not Important,Not Important,Neutral,Not Important,Not Important,Neutral,Not Important,Neutral,Very Important,Important,Neutral,Not Important,Very Important,Neutral,Important,Very Important,Neutral,Important,Important,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Very Important,Very Important,Very Important,Neutral,Very Important,Very Important,Very Important,Not Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Neutral
Not Very Important,Not Important,Not Important,Neutral,Not Important,Neutral,Important,Important,Important,Important,Very Important,Very Important,Important,Neutral,Neutral,Neutral,Important,Important,Very Important,Important,Neutral,Not Important,Neutral
Not Very Important,Not Important,Neutral,Not Important,Neutral,Important,Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Important,Very Important,Neutral,Neutral,Important,Neutral,Important,Very Important,Important,Very Important
Not Very Important,Not Important,Neutral,Neutral,Neutral,Important,Important,Important,Very Important,Very Important,Very Important,Important,Neutral,Important,Important,Very Important,Important,Important,Neutral,Important,Neutral,Important,Neutral
Important,Important,Important,Important,Important,Important,Not Important,Not Important,Important,Important,Important,Very Important,Important,Important,Important,Important,Very Important,Important,Important,Important,Important,Very Important,Very Important
Not Very Important,Not Important,Important,Important,Important,Neutral,Important,Neutral,Important,Important,Very Important,Important,Important,Very Important,Important,Important,Important,Very Important,Important,Very Important,Important,Neutral,Not Important
Very Important,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Important,Neutral,Important,Neutral,Neutral,Important,Neutral,Neutral,Important,Important,Neutral,Important,Neutral,Not Important,Important,Important,Neutral,Important,Important,Important,Important,Important,Important
Important,Important,Important,Important,Important,Important,Neutral,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Neutral,Important,Neutral,Neutral,Important
Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,Important,Important,Very Important,Very Important,Very Important,Neutral,Neutral,Neutral,Important,Important,Important,Very Important
